lat,lon,type,description
49.499138,16.599819,Os4714,Jede do Svitávka (úsek 2.35km) v 11:50 <a href='https://www.cd.cz/vlak/4714' target='_blank'>info</a>
49.957075,14.075869,Os8830,Stojí ve stanici v 11:54 <a href='https://www.cd.cz/vlak/8830' target='_blank'>info</a>
50.222445,15.841512,Os5604,Jede do Hradec Králové zastávka (úsek 1.26km) v 11:49 <a href='https://www.cd.cz/vlak/5604' target='_blank'>info</a>
50.099076,16.989271,Sp1708,Stojí ve stanici v 11:50 <a href='https://www.cd.cz/vlak/1708' target='_blank'>info</a>
50.330118,13.75294,Os6707,Jede do Jimlín (úsek 2.3km) v 11:51 <a href='https://www.cd.cz/vlak/6707' target='_blank'>info</a>
50.782379,14.792554,Os6606,Jede do Lvová (úsek 3.33km) v 11:48 <a href='https://www.cd.cz/vlak/6606' target='_blank'>info</a>
50.089701,15.027666,Os9325,Stojí ve stanici v 11:54 <a href='https://www.cd.cz/vlak/9325' target='_blank'>info</a>
50.241708,16.063367,Os5128,Jede do Očelice (úsek 3.13km) v 11:50 <a href='https://www.cd.cz/vlak/5128' target='_blank'>info</a>
49.762392,13.244625,Os7276,Stojí ve stanici v 11:54 <a href='https://www.cd.cz/vlak/7276' target='_blank'>info</a>
49.792866,18.524394,Sp1613,Stojí ve stanici v 11:51 <a href='https://www.cd.cz/vlak/1613' target='_blank'>info</a>
48.974485,14.48878,Os2158,Stojí ve stanici v 11:47 <a href='https://www.cd.cz/vlak/2158' target='_blank'>info</a>
49.302314,17.402729,Os14250,Stojí ve stanici v 11:45 <a href='https://www.cd.cz/vlak/14250' target='_blank'>info</a>
49.879436,17.422934,Os3502,Jede do Lomnice u Rýmařova (úsek 7.04km) v 11:43 <a href='https://www.cd.cz/vlak/3502' target='_blank'>info</a>
50.434732,14.240672,Os6947,Jede do Roudnice nad Labem (úsek 4.82km) v 11:51 <a href='https://www.cd.cz/vlak/6947' target='_blank'>info</a>
49.874253,14.717164,Os2533,Jede do Čtyřkoly (úsek 3.52km) v 11:50 <a href='https://www.cd.cz/vlak/2533' target='_blank'>info</a>
49.037381,17.836797,Os4309,Jede do Pitín zastávka (úsek 2.71km) v 11:39 <a href='https://www.cd.cz/vlak/4309' target='_blank'>info</a>
50.465235,16.181123,Sp1753,Jede do Velké Poříčí (úsek 1.08km) v 11:51 <a href='https://www.cd.cz/vlak/1753' target='_blank'>info</a>
49.633518,16.520187,Os4783,Stojí ve stanici v 11:39 <a href='https://www.cd.cz/vlak/4783' target='_blank'>info</a>
50.2385,14.314091,Os9628,Stojí ve stanici v 11:45 <a href='https://www.cd.cz/vlak/9628' target='_blank'>info</a>
50.357119,12.719445,Os17134,Stojí ve stanici v 11:51 <a href='https://www.cd.cz/vlak/17134' target='_blank'>info</a>
50.520508,14.082131,Os6106,Jede do Lovosice závod (úsek 2.29km) v 11:54 <a href='https://www.cd.cz/vlak/6106' target='_blank'>info</a>
50.031733,15.757622,Os1845,Stojí ve stanici v 11:53 <a href='https://www.cd.cz/vlak/1845' target='_blank'>info</a>
50.147622,14.086945,Sp1876,Stojí ve stanici v 11:51 <a href='https://www.cd.cz/vlak/1876' target='_blank'>info</a>
49.520901,13.593555,R654,Jede do Srby (úsek 3.34km) v 11:51 <a href='https://www.cd.cz/vlak/654' target='_blank'>info</a>
49.412199,17.717752,Os3908,Jede do Osíčko (úsek 2.6km) v 11:46 <a href='https://www.cd.cz/vlak/3908' target='_blank'>info</a>
49.550714,13.57407,Os8947,Stojí ve stanici v 11:50 <a href='https://www.cd.cz/vlak/8947' target='_blank'>info</a>
49.629519,17.117938,Os14021,Jede do Senice na Hané (úsek 4.05km) v 11:51 <a href='https://www.cd.cz/vlak/14021' target='_blank'>info</a>
49.637803,15.61313,Os5581,Jede do Břevnice (úsek 4.91km) v 11:43 <a href='https://www.cd.cz/vlak/5581' target='_blank'>info</a>
49.156369,16.504861,Os4427,Jede do Střelice dolní (úsek 1.63km) v 11:46 <a href='https://www.cd.cz/vlak/4427' target='_blank'>info</a>
49.900053,18.1361,R1125,Jede do Jilešovice (úsek 3.49km) v 11:54 <a href='https://www.cd.cz/vlak/1125' target='_blank'>info</a>
49.307842,18.021171,Os13264,Jede do Janová (úsek 2.89km) v 11:49 <a href='https://www.cd.cz/vlak/13264' target='_blank'>info</a>
50.369088,15.544693,Os5524,Stojí ve stanici v 11:53 <a href='https://www.cd.cz/vlak/5524' target='_blank'>info</a>
50.336608,13.555445,R1087,Stojí ve stanici v 11:52 <a href='https://www.cd.cz/vlak/1087' target='_blank'>info</a>
50.099851,16.293754,Sp1951,Jede do Záměl (úsek 2.92km) v 11:51 <a href='https://www.cd.cz/vlak/1951' target='_blank'>info</a>
48.672285,14.441233,Os18805,Jede do Pšenice (úsek 4.07km) v 11:50 <a href='https://www.cd.cz/vlak/18805' target='_blank'>info</a>
49.878098,14.500017,Os9007,Stojí ve stanici v 11:55 <a href='https://www.cd.cz/vlak/9007' target='_blank'>info</a>
49.930631,15.811457,Os5320,Jede do Chrudim (úsek 4.25km) v 11:52 <a href='https://www.cd.cz/vlak/5320' target='_blank'>info</a>
49.736513,16.392049,Os15331,Jede do Vendolí zastávka (úsek 2.6km) v 11:43 <a href='https://www.cd.cz/vlak/15331' target='_blank'>info</a>
50.354829,15.911753,R1270,Jede do Jaroměř zastávka (úsek 2.17km) v 11:48 <a href='https://www.cd.cz/vlak/1270' target='_blank'>info</a>
49.421964,12.838044,Os7239,Jede do Trhanov (úsek 2.51km) v 11:42 <a href='https://www.cd.cz/vlak/7239' target='_blank'>info</a>
50.408266,14.894603,Os6044,Jede do Ml.Bol.hl.n.vhb.č.50 (úsek 0.55km) v 11:53 <a href='https://www.cd.cz/vlak/6044' target='_blank'>info</a>
50.489735,13.448877,Sp1676,Jede do Jirkov (úsek 1.59km) v 11:52 <a href='https://www.cd.cz/vlak/1676' target='_blank'>info</a>
50.193431,15.045968,Os15810,Stojí ve stanici v 11:52 <a href='https://www.cd.cz/vlak/15810' target='_blank'>info</a>
48.825221,16.519029,Os4511,Jede do Dobré Pole (úsek 2.62km) v 11:48 <a href='https://www.cd.cz/vlak/4511' target='_blank'>info</a>
50.595049,14.627699,Os6011,Jede do Staré Splavy (úsek 3.79km) v 11:52 <a href='https://www.cd.cz/vlak/6011' target='_blank'>info</a>
49.431041,13.872792,Os17923,Stojí ve stanici v 11:52 <a href='https://www.cd.cz/vlak/17923' target='_blank'>info</a>
50.087837,14.434774,Os9627,Stojí ve stanici v 11:50 <a href='https://www.cd.cz/vlak/9627' target='_blank'>info</a>
50.507774,13.666341,Os6786,Jede do Most (úsek 3.21km) v 11:50 <a href='https://www.cd.cz/vlak/6786' target='_blank'>info</a>
50.595074,13.61772,Os16934,Jede do Litvínov (úsek 1.55km) v 11:44 <a href='https://www.cd.cz/vlak/16934' target='_blank'>info</a>
49.239895,14.150093,R1245,Jede do Heřmaň (úsek 6.32km) v 11:46 <a href='https://www.cd.cz/vlak/1245' target='_blank'>info</a>
49.110746,17.460468,R888,Jede do Huštěnovice (úsek 5.14km) v 11:50 <a href='https://www.cd.cz/vlak/888' target='_blank'>info</a>
50.248558,17.538704,Sp1662,Stojí ve stanici v 11:43 <a href='https://www.cd.cz/vlak/1662' target='_blank'>info</a>
50.384666,17.111701,Os13614,Jede do Horní Heřmanice (úsek 3.35km) v 11:46 <a href='https://www.cd.cz/vlak/13614' target='_blank'>info</a>
49.436219,14.972401,Os18407,Jede do Šimpach (úsek 1.96km) v 11:50 <a href='https://www.cd.cz/vlak/18407' target='_blank'>info</a>
49.076365,17.422854,R810,Stojí ve stanici v 11:53 <a href='https://www.cd.cz/vlak/810' target='_blank'>info</a>
49.918913,15.825171,Os5359,Stojí ve stanici v 11:37 <a href='https://www.cd.cz/vlak/5359' target='_blank'>info</a>
50.071886,16.929513,Os3657,Stojí ve stanici v 11:52 <a href='https://www.cd.cz/vlak/3657' target='_blank'>info</a>
50.148925,14.519605,Os7770,Stojí ve stanici v 11:36 <a href='https://www.cd.cz/vlak/7770' target='_blank'>info</a>
49.864125,14.918807,Os9209,Jede do Samopše (úsek 3.03km) v 11:49 <a href='https://www.cd.cz/vlak/9209' target='_blank'>info</a>
50.566448,16.184801,Sp1873,Jede do Dědov (úsek 2.97km) v 11:46 <a href='https://www.cd.cz/vlak/1873' target='_blank'>info</a>
50.760732,14.547396,R1105,Stojí ve stanici v 11:54 <a href='https://www.cd.cz/vlak/1105' target='_blank'>info</a>
49.159943,14.961149,Os8307,Jede do Děbolín (úsek 4.11km) v 11:49 <a href='https://www.cd.cz/vlak/8307' target='_blank'>info</a>
49.019979,14.457026,R665,Jede do Nemanice II (úsek 4.48km) v 11:52 <a href='https://www.cd.cz/vlak/665' target='_blank'>info</a>
49.761582,17.229189,Os3632,Jede do Mladějovice (úsek 4.16km) v 11:42 <a href='https://www.cd.cz/vlak/3632' target='_blank'>info</a>
49.855521,18.52683,Ex142,Stojí ve stanici v 11:54 <a href='https://www.cd.cz/vlak/142' target='_blank'>info</a>
49.42314,14.376336,Os8412,Jede do Líšnice (úsek 2.76km) v 11:46 <a href='https://www.cd.cz/vlak/8412' target='_blank'>info</a>
49.763097,12.9116,Sp1984,Stojí ve stanici v 11:52 <a href='https://www.cd.cz/vlak/1984' target='_blank'>info</a>
49.575302,13.322578,Os7532,Stojí ve stanici v 11:49 <a href='https://www.cd.cz/vlak/7532' target='_blank'>info</a>
49.182891,16.615685,Os4910,Stojí ve stanici v 11:53 <a href='https://www.cd.cz/vlak/4910' target='_blank'>info</a>
48.948766,17.382507,Os2739,Stojí ve stanici v 11:52 <a href='https://www.cd.cz/vlak/2739' target='_blank'>info</a>
49.74044,13.591283,Os27823,Stojí ve stanici v 11:37 <a href='https://www.cd.cz/vlak/27823' target='_blank'>info</a>
49.27858,16.991574,R909,Stojí ve stanici v 11:53 <a href='https://www.cd.cz/vlak/909' target='_blank'>info</a>
50.15967,14.398514,Os28124,Stojí ve stanici v 11:49 <a href='https://www.cd.cz/vlak/28124' target='_blank'>info</a>
49.057637,15.809224,Os24809,Stojí ve stanici v 11:52 <a href='https://www.cd.cz/vlak/24809' target='_blank'>info</a>
50.50979,14.059579,Os6105,Stojí ve stanici v 11:53 <a href='https://www.cd.cz/vlak/6105' target='_blank'>info</a>
50.739866,15.231731,Os2655,Jede do Lučany nad Nisou (úsek 1.19km) v 11:45 <a href='https://www.cd.cz/vlak/2655' target='_blank'>info</a>
49.246848,13.54191,Os17572,Stojí ve stanici v 11:43 <a href='https://www.cd.cz/vlak/17572' target='_blank'>info</a>
49.764144,17.425605,R1127,Jede do Moravský Beroun (úsek 6.76km) v 11:52 <a href='https://www.cd.cz/vlak/1127' target='_blank'>info</a>
49.639817,13.155247,Os7452,Stojí ve stanici v 11:51 <a href='https://www.cd.cz/vlak/7452' target='_blank'>info</a>
